time,open,high,low,close,tick_volume,spread,real_volume
2025-12-31 20:00:00,57.354,57.361,57.349,57.357,23,18,0
2025-12-31 20:03:00,57.356,57.356,57.339,57.339,11,18,0
2025-12-31 20:06:00,57.338,57.338,57.316,57.335,20,18,0
2025-12-31 20:09:00,57.339,57.344,57.334,57.344,14,18,0
2025-12-31 20:12:00,57.346,57.351,57.343,57.345,14,18,0
2025-12-31 20:15:00,57.344,57.355,57.341,57.353,9,18,0
2025-12-31 20:18:00,57.354,57.354,57.326,57.327,14,18,0
2025-12-31 20:21:00,57.326,57.331,57.311,57.324,16,18,0
2025-12-31 20:24:00,57.322,57.333,57.319,57.333,9,18,0
2025-12-31 20:27:00,57.333,57.338,57.324,57.338,10,18,0
2025-12-31 20:30:00,57.342,57.345,57.327,57.345,12,18,0
2025-12-31 20:33:00,57.344,57.345,57.34,57.34,10,18,0
2025-12-31 20:36:00,57.339,57.342,57.331,57.332,10,18,0
2025-12-31 20:39:00,57.333,57.339,57.328,57.337,15,18,0
2025-12-31 20:42:00,57.337,57.338,57.334,57.335,7,18,0
2025-12-31 20:45:00,57.334,57.338,57.33,57.33,8,18,0
2025-12-31 20:48:00,57.331,57.361,57.33,57.332,28,18,0
2025-12-31 20:51:00,57.333,57.336,57.293,57.303,31,18,0
2025-12-31 20:54:00,57.306,57.332,57.304,57.332,19,18,0
2025-12-31 20:57:00,57.333,57.333,57.306,57.313,40,18,0
2025-12-31 21:00:00,57.309,57.309,57.3,57.303,15,18,0
2025-12-31 21:03:00,57.309,57.309,57.3,57.3,7,18,0
2025-12-31 21:06:00,57.299,57.3,57.291,57.291,11,18,0
2025-12-31 21:09:00,57.291,57.331,57.291,57.331,16,18,0
2025-12-31 21:12:00,57.33,57.339,57.324,57.333,15,18,0
2025-12-31 21:15:00,57.334,57.347,57.316,57.337,23,18,0
2025-12-31 21:18:00,57.34,57.358,57.333,57.347,22,18,0
2025-12-31 21:21:00,57.341,57.342,57.333,57.333,8,18,0
2025-12-31 21:24:00,57.33,57.338,57.324,57.338,6,18,0
2025-12-31 21:27:00,57.343,57.343,57.336,57.34,8,18,0
2025-12-31 21:30:00,57.342,57.342,57.327,57.327,10,18,0
2025-12-31 21:33:00,57.329,57.332,57.326,57.332,9,18,0
2025-12-31 21:36:00,57.331,57.331,57.328,57.328,3,18,0
2025-12-31 21:39:00,57.327,57.341,57.327,57.341,5,18,0
2025-12-31 21:42:00,57.34,57.34,57.313,57.32,8,18,0
2025-12-31 21:45:00,57.31,57.332,57.31,57.324,13,18,0
2025-12-31 21:48:00,57.33,57.33,57.3,57.3,8,18,0
2025-12-31 21:51:00,57.305,57.309,57.305,57.309,3,18,0
2025-12-31 21:54:00,57.314,57.314,57.3,57.3,5,18,0
2025-12-31 21:57:00,57.296,57.303,57.296,57.299,5,18,0
2026-01-01 23:00:00,57.425,57.425,57.349,57.362,29,18,0
2026-01-01 23:03:00,57.357,57.376,57.347,57.376,11,18,0
2026-01-01 23:06:00,57.375,57.415,57.375,57.415,9,18,0
2026-01-01 23:09:00,57.419,57.428,57.396,57.396,11,18,0
2026-01-01 23:12:00,57.391,57.409,57.391,57.395,11,18,0
2026-01-01 23:15:00,57.392,57.392,57.384,57.384,4,18,0
2026-01-01 23:18:00,57.39,57.417,57.371,57.371,11,18,0
2026-01-01 23:21:00,57.377,57.389,57.376,57.377,9,18,0
2026-01-01 23:24:00,57.383,57.392,57.37,57.383,11,18,0
2026-01-01 23:27:00,57.383,57.425,57.383,57.425,14,18,0
2026-01-01 23:30:00,57.429,57.433,57.362,57.362,15,18,0
2026-01-01 23:33:00,57.358,57.358,57.358,57.358,3,18,0
2026-01-01 23:36:00,57.36,57.369,57.359,57.359,5,18,0
2026-01-01 23:39:00,57.359,57.359,57.322,57.322,5,18,0
2026-01-01 23:42:00,57.322,57.337,57.319,57.337,7,18,0
2026-01-01 23:45:00,57.335,57.353,57.324,57.344,11,18,0
2026-01-01 23:48:00,57.345,57.354,57.345,57.346,11,18,0
2026-01-01 23:51:00,57.347,57.347,57.344,57.345,4,18,0
2026-01-01 23:54:00,57.346,57.354,57.346,57.354,7,18,0
2026-01-01 23:57:00,57.354,57.368,57.351,57.368,10,18,0
2026-01-02 00:00:00,57.365,57.365,57.322,57.334,15,18,0
2026-01-02 00:03:00,57.333,57.334,57.326,57.33,11,18,0
2026-01-02 00:06:00,57.332,57.335,57.323,57.323,9,18,0
2026-01-02 00:09:00,57.324,57.326,57.324,57.326,3,18,0
2026-01-02 00:12:00,57.327,57.333,57.325,57.333,10,18,0
2026-01-02 00:15:00,57.335,57.346,57.335,57.335,7,18,0
2026-01-02 00:18:00,57.335,57.335,57.333,57.335,3,18,0
2026-01-02 00:21:00,57.335,57.346,57.305,57.305,11,18,0
2026-01-02 00:24:00,57.301,57.307,57.293,57.303,8,18,0
2026-01-02 00:27:00,57.302,57.318,57.302,57.318,6,18,0
2026-01-02 00:30:00,57.316,57.316,57.314,57.315,5,18,0
2026-01-02 00:33:00,57.317,57.317,57.304,57.304,7,18,0
2026-01-02 00:36:00,57.308,57.314,57.308,57.308,5,18,0
2026-01-02 00:39:00,57.308,57.314,57.308,57.314,3,18,0
2026-01-02 00:42:00,57.317,57.325,57.317,57.324,7,18,0
2026-01-02 00:45:00,57.325,57.326,57.325,57.326,3,18,0
2026-01-02 00:48:00,57.326,57.326,57.325,57.326,3,18,0
2026-01-02 00:51:00,57.325,57.325,57.317,57.317,4,18,0
2026-01-02 00:54:00,57.317,57.317,57.303,57.308,9,18,0
2026-01-02 00:57:00,57.307,57.307,57.302,57.302,4,18,0
2026-01-02 01:00:00,57.304,57.376,57.296,57.376,101,18,0
2026-01-02 01:03:00,57.377,57.377,57.348,57.355,43,18,0
2026-01-02 01:06:00,57.36,57.403,57.36,57.364,29,18,0
2026-01-02 01:09:00,57.369,57.375,57.361,57.374,28,18,0
2026-01-02 01:12:00,57.375,57.381,57.361,57.361,30,18,0
2026-01-02 01:15:00,57.363,57.385,57.363,57.383,24,18,0
2026-01-02 01:18:00,57.381,57.415,57.366,57.366,29,18,0
2026-01-02 01:21:00,57.366,57.37,57.335,57.341,21,18,0
2026-01-02 01:24:00,57.343,57.349,57.327,57.345,33,18,0
2026-01-02 01:27:00,57.343,57.353,57.323,57.34,28,18,0
2026-01-02 01:30:00,57.34,57.353,57.34,57.353,15,18,0
2026-01-02 01:33:00,57.355,57.384,57.355,57.378,25,18,0
