pair,timeframe,strategy,family,rr,trail_trigger,trail_step,trades,wins,winrate,net_pnl,pnl_per_day,days_ge_20,active_days
BTCUSDm,1m,ema_cross_5_20,indicator,2.0,2.0,1.0,42453,19956,47.01,712490.06,11874.83,60,60
BTCUSDm,1m,ema_cross_8_20,indicator,2.0,2.0,1.0,42453,19965,47.03,707438.72,11790.65,60,60
BTCUSDm,1m,sma_cross_10_50,indicator,2.0,2.0,1.0,42453,20294,47.8,706155.06,11769.25,60,60
BTCUSDm,1m,ema_cross_5_50,indicator,2.0,2.0,1.0,42453,20031,47.18,704416.8,11740.28,60,60
BTCUSDm,1m,ema_cross_8_34,indicator,2.0,2.0,1.0,42453,20031,47.18,702980.12,11716.34,60,60
BTCUSDm,1m,sma_cross_5_50,indicator,2.0,2.0,1.0,42453,20126,47.41,702197.77,11703.3,60,60
BTCUSDm,1m,ema_cross_10_50,indicator,2.0,2.0,1.0,42453,20098,47.34,702018.99,11700.32,60,60
BTCUSDm,1m,sma_cross_5_20,indicator,2.0,2.0,1.0,42454,20072,47.28,701687.09,11694.78,60,60
BTCUSDm,1m,ema_cross_13_34,indicator,2.0,2.0,1.0,42453,20095,47.33,701397.66,11689.96,60,60
BTCUSDm,1m,sma_cross_8_34,indicator,2.0,2.0,1.0,42453,20124,47.4,700170.63,11669.51,60,60
BTCUSDm,1m,sma_cross_13_34,indicator,2.0,2.0,1.0,42453,20254,47.71,699023.09,11650.38,60,60
BTCUSDm,1m,sma_cross_8_20,indicator,2.0,2.0,1.0,42454,20159,47.48,698410.72,11640.18,60,60
BTCUSDm,1m,pressure_thrust_0.2,custom,2.0,2.0,1.0,36750,17121,46.59,604132.84,10068.88,60,60
BTCUSDm,1m,pressure_thrust_0.35,custom,2.0,2.0,1.0,30967,14280,46.11,516999.39,8616.66,60,60
BTCUSDm,1m,z_break_0.8,volatility,2.0,2.0,1.0,29926,13695,45.76,516837.76,8613.96,60,60
BTCUSDm,1m,z_revert_0.8,volatility,2.0,2.0,1.0,29925,15482,51.74,502291.65,8371.53,60,60
BTCUSDm,1m,z_break_1.0,volatility,2.0,2.0,1.0,25650,11731,45.73,451791.62,7529.86,60,60
