pair,timeframe,strategy,trades,net_pnl,avg_daily_pnl,win_rate,max_dd
BTCUSDm,1m,S22_bb_rsi_long_40_2p8,782,-476.79,-8.08,29.67,-478.98
BTCUSDm,1m,S20_bb_rsi_long_30_2p6,1137,-752.63,-12.76,29.9,-756.74
BTCUSDm,1m,S32_donchian_short_50,1272,-806.12,-13.44,25.55,-815.94
BTCUSDm,1m,S21_bb_rsi_both_40_2p8,1492,-824.7,-13.75,30.9,-825.17
BTCUSDm,1m,S30_donchian_short_40,1468,-1077.41,-17.96,26.02,-1080.15
BTCUSDm,1m,S16_bb_rsi_long_20_2p4,1586,-1320.29,-22.0,36.63,-1326.54
BTCUSDm,1m,S19_bb_rsi_both_30_2p6,2149,-1350.4,-22.51,30.81,-1350.63
BTCUSDm,1m,S50_custom_short_12_45,2332,-1439.2,-23.99,27.02,-1447.58
BTCUSDm,1m,S28_donchian_short_30,1873,-1619.79,-27.0,25.47,-1622.82
BTCUSDm,1m,S31_donchian_both_50,2431,-1634.68,-27.24,25.71,-1645.02
BTCUSDm,1m,S18_bb_rsi_long_30_2p2,2328,-1646.66,-27.44,30.71,-1652.13
BTCUSDm,1m,S48_custom_short_10_40,2675,-1941.17,-32.35,26.28,-1946.1
BTCUSDm,1m,S26_donchian_short_20,2432,-2170.84,-36.18,28.37,-2177.46
BTCUSDm,1m,S29_donchian_both_40,2823,-2198.07,-36.63,25.82,-2202.43
BTCUSDm,1m,S15_bb_rsi_both_20_2p4,2994,-2415.8,-40.26,36.71,-2418.99
BTCUSDm,1m,S46_custom_short_8_34,3082,-2448.08,-40.8,27.48,-2452.05
BTCUSDm,1m,S24_donchian_short_15,2660,-2474.34,-41.24,32.11,-2479.56
BTCUSDm,1m,S42_structure_long_12_36,3214,-2718.77,-45.31,27.35,-2734.46
BTCUSDm,1m,S49_custom_both_12_45,4444,-2823.71,-47.06,27.3,-2834.53
BTCUSDm,1m,S17_bb_rsi_both_30_2p2,4401,-2986.14,-49.77,31.77,-2989.27
BTCUSDm,1m,S38_structure_long_8_32,3289,-3025.24,-50.42,28.67,-3046.9
BTCUSDm,1m,S27_donchian_both_30,3585,-3158.18,-52.64,25.66,-3162.0
BTCUSDm,1m,S44_custom_short_5_30,3666,-3178.22,-52.97,30.09,-3183.14
BTCUSDm,1m,S14_bb_rsi_long_20_2p0,3281,-3241.31,-54.02,38.52,-3241.31
BTCUSDm,1m,S40_structure_long_10_30,3361,-3430.77,-57.18,30.71,-3449.46
BTCUSDm,1m,S36_structure_long_7_28,3386,-3475.04,-57.92,32.4,-3491.38
BTCUSDm,1m,S47_custom_both_10_40,5124,-3688.48,-61.47,26.72,-3696.57
BTCUSDm,1m,S34_structure_long_6_24,3443,-3933.91,-65.57,35.38,-3950.41
BTCUSDm,1m,S25_donchian_both_20,4713,-4370.7,-72.84,28.09,-4375.07
