pair,timeframe,strategy,trades,net_pnl,avg_daily_pnl,win_rate,max_dd,meets_20_usd_day
BTCUSDm,1m,S22_bb_rsi_long_40_2p8,782,-476.79,-8.08,29.67,-478.98,no
BTCUSDm,3m,S22_bb_rsi_long_40_2p8,314,-101.11,-1.74,34.39,-107.79,no
BTCUSDm,5m,S22_bb_rsi_long_40_2p8,187,-7.06,-0.13,44.39,-25.7,no
BTCXAUm,1m,S22_bb_rsi_long_40_2p8,757,-16.86,-0.26,34.21,-17.72,no
BTCXAUm,3m,S22_bb_rsi_long_40_2p8,389,-4.59,-0.05,39.07,-7.21,no
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,476,8.94,0.1,43.91,-4.69,no
ETHUSDm,1m,S22_bb_rsi_long_40_2p8,959,-326.76,-5.19,36.18,-333.66,no
ETHUSDm,3m,S22_bb_rsi_long_40_2p8,518,-127.84,-1.47,37.84,-135.78,no
ETHUSDm,5m,S22_bb_rsi_long_40_2p8,317,-51.78,-0.62,40.38,-69.65,no
USDJPYm,1m,S22_bb_rsi_long_40_2p8,736,-206.1,-2.82,13.86,-206.1,no
USDJPYm,3m,S22_bb_rsi_long_40_2p8,251,-60.83,-0.89,21.51,-60.83,no
USDJPYm,5m,S22_bb_rsi_long_40_2p8,148,-24.84,-0.41,29.05,-26.25,no
USOILm,1m,S22_bb_rsi_long_40_2p8,766,-64.54,-0.91,35.51,-69.08,no
USOILm,3m,S20_bb_rsi_long_30_2p6,367,-19.75,-0.3,37.06,-29.49,no
USOILm,5m,S22_bb_rsi_long_40_2p8,145,-1.11,-0.02,39.31,-9.46,no
XAUUSDm,1m,S22_bb_rsi_long_40_2p8,578,-301.22,-6.41,34.43,-304.86,no
XAUUSDm,3m,S22_bb_rsi_long_40_2p8,221,-41.31,-0.9,37.1,-54.32,no
XAUUSDm,5m,S32_donchian_short_50,159,-31.87,-0.76,32.08,-70.16,no
