pair,timeframe,strategy,direction,entry_ts,exit_ts,entry,exit,qty,pnl,reason
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-01 01:10:00,2026-01-01 01:15:00,20.32954,20.34758,5.0,-0.13087,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-01 04:05:00,2026-01-01 04:10:00,20.29386,20.25743,5.0,-0.22269,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-01 04:15:00,2026-01-01 04:40:00,20.25764,20.23856,5.0,-0.13589,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-01 07:30:00,2026-01-01 07:40:00,20.24987,20.25446,5.0,-0.01758,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-01 08:10:00,2026-01-01 08:30:00,20.28892,20.28511,5.0,-0.02154,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-01 09:20:00,2026-01-01 09:35:00,20.32273,20.31085,5.0,0.01877,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-01 12:00:00,2026-01-01 12:15:00,20.34495,20.34929,5.0,-0.06238,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-01 17:25:00,2026-01-01 17:30:00,20.39196,20.41842,5.0,-0.17312,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-01 17:35:00,2026-01-01 17:50:00,20.43078,20.43951,5.0,-0.08452,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-01 22:10:00,2026-01-01 22:20:00,20.4717,20.47037,5.0,-0.03431,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-02 00:10:00,2026-01-02 00:30:00,20.34658,20.41158,5.0,0.28424,target
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-02 09:50:00,2026-01-02 09:55:00,20.36709,20.37683,5.0,-0.08946,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-02 10:00:00,2026-01-02 10:05:00,20.37738,20.39367,5.0,-0.12223,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-02 10:10:00,2026-01-02 10:50:00,20.42694,20.36059,5.0,0.29099,target
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-02 13:25:00,2026-01-02 13:50:00,20.42042,20.46027,5.0,-0.24013,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-02 14:50:00,2026-01-02 15:00:00,20.57477,20.6172,5.0,-0.25334,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-02 16:35:00,2026-01-02 16:40:00,21.00804,20.85147,5.0,0.74101,target
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-03 04:45:00,2026-01-03 04:55:00,20.78684,20.79017,5.0,-0.02493,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-03 07:20:00,2026-01-03 07:25:00,20.69398,20.65047,5.0,-0.25887,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-03 07:30:00,2026-01-03 07:45:00,20.6321,20.64438,5.0,0.02011,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-03 12:50:00,2026-01-03 12:55:00,20.75232,20.75923,5.0,-0.07605,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-03 13:00:00,2026-01-03 13:15:00,20.76926,20.75892,5.0,0.01015,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-03 20:45:00,2026-01-03 21:05:00,20.82538,20.84999,5.0,-0.16475,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-04 00:05:00,2026-01-04 00:10:00,20.97739,21.02739,5.0,-0.292,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-04 00:15:00,2026-01-04 00:25:00,21.08992,21.01785,5.0,0.31825,target
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-04 04:20:00,2026-01-04 04:30:00,21.09206,21.09688,5.0,-0.06627,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-04 04:40:00,2026-01-04 05:20:00,21.11959,21.09665,5.0,0.07249,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-04 06:10:00,2026-01-04 06:20:00,21.15569,21.16643,5.0,-0.09605,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-04 18:20:00,2026-01-04 18:30:00,21.04111,21.02835,5.0,-0.10588,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-04 19:10:00,2026-01-04 19:20:00,20.97844,21.04344,5.0,0.28298,target
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-04 23:10:00,2026-01-04 23:15:00,20.95728,20.90728,5.0,-0.29186,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-04 23:20:00,2026-01-04 23:25:00,20.9218,20.90333,5.0,-0.1342,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-05 04:25:00,2026-01-05 04:30:00,21.01789,20.96789,5.0,-0.29199,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-05 04:35:00,2026-01-05 04:40:00,20.97509,20.96869,5.0,-0.07394,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-05 13:50:00,2026-01-05 14:00:00,20.96378,20.96228,5.0,-0.04941,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-05 18:00:00,2026-01-05 18:25:00,21.21987,21.17363,5.0,0.18882,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-06 01:30:00,2026-01-06 01:40:00,21.21663,21.14924,5.0,0.29461,target
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-06 13:20:00,2026-01-06 13:30:00,20.97877,21.00604,5.0,0.09436,stop/trail
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,-1,2026-01-06 14:25:00,2026-01-06 14:30:00,21.11663,21.04758,5.0,0.3031,target
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-06 14:55:00,2026-01-06 15:15:00,20.88003,21.00994,5.0,0.60765,target
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,1,2026-01-06 16:30:00,2026-01-06 16:40:00,20.69741,20.63929,5.0,-0.33194,stop/trail
